,1. Marek Beneš,,46
,2. Matěj Havlas,,42
,3. Ondřej Němeček,,36
,4. David Šimek,,33
,5. Martin Šindelář,,32
,1. Lukáš Kříž,,"3,80"
,2. Martin Frühbauer,,"0,00"
,3. Jan Buzík,,"1,50"
,4. Tomáš Jurco,,"3,06"
,,,
,1. Marek Beneš,,25
,2. Matěj Havlas,,23
,3. David Šimek,,19
,4. Jakub Kolísko,,19
,5. Martin Šindelář,,15
,1. Lukáš Kříž,,16
,2. Tomáš Jurco,,5
,3. Jan Buzík,,1
,4. Martin Frühbauer,,0
,,,
,1. Marek Beneš,,21
,2. Ondřej Němeček,,21
,3. Matěj Havlas,,19
,4. Martin Šindelář,,17
,5. David Šimek,,14
,1. Ondřej Němeček,,19
,2. Milan Meliš,,18
,3. Petr Brautferger,,16
,4. Martin Šindelář,,10
,5. Jakub Kolísko,,8
