1.,,Tatran Střešovice,13,12,0,0,1,36,98,47,51,29,16,1,55.17,22,6,3,72.73,23,0,1,0,0,0,56,363,27.00,964,1478,161,211,188
2.,,Předvýběr.CZ Florbal MB,13,9,2,0,2,31,92,37,55,15,5,1,33.33,21,5,0,76.19,22,0,0,0,0,0,44,354,25.99,1870,790,267,132,205
3.,,1. SC TEMPISH Vítkovice,12,9,0,0,3,27,96,53,43,16,8,0,50.00,11,3,1,72.73,12,0,0,0,0,0,24,323,29.72,863,1285,144,214,179
4.,,FAT PIPE FLORBAL CHODOV,12,7,1,2,2,25,89,65,24,25,11,0,44.00,26,10,3,61.54,26,0,0,0,0,0,52,336,26.49,874,946,125,189,152
5.,,FbŠ Bohemians,12,8,0,1,3,25,72,58,14,37,10,2,27.03,16,4,0,75.00,17,0,0,0,0,0,34,329,21.88,1175,897,168,179,173
6.,,ACEMA Sparta Praha,12,7,1,0,4,23,70,61,9,18,7,0,38.89,23,10,1,56.52,25,0,0,0,0,0,50,288,24.31,1785,1135,298,189,243
7.,,BLACK ANGELS,12,6,1,1,4,21,74,69,5,30,14,0,46.67,29,9,0,68.97,30,0,0,0,0,0,60,268,27.61,795,1025,132,171,152
8.,,FBC Liberec,12,5,1,0,6,17,66,70,-4,14,5,0,35.71,19,10,0,47.37,19,0,0,0,0,0,38,219,30.14,707,1161,141,166,156
9.,,FBC ČPP OSTRAVA,12,5,0,1,6,16,65,63,2,20,12,0,60.00,17,3,0,82.35,20,0,0,0,0,0,40,254,25.59,739,1324,123,221,172
10.,,TJ Sokol Královské Vinohrady,12,3,0,0,9,9,52,87,-35,26,12,2,46.15,18,11,0,38.89,19,0,1,0,0,0,48,237,21.94,752,457,94,114,101
11.,,Navláčil PANTHERS OTROKOVICE,12,2,0,1,9,7,61,87,-26,26,7,0,26.92,17,8,0,52.94,17,0,0,0,0,0,34,244,25.00,966,1173,193,168,178
12.,,FBC 4CLEAN Česká Lípa,13,1,2,0,10,7,70,110,-40,16,6,0,37.50,36,22,1,38.89,34,2,0,1,0,0,98,331,21.15,1231,1066,205,152,177
13.,,FBŠ Hummel Hattrick Brno,12,2,0,1,9,7,43,88,-45,15,5,2,33.33,26,12,0,53.85,27,1,0,0,0,0,59,205,20.98,1016,650,169,108,139
14.,,SOKOLI Pardubice,13,2,0,1,10,7,56,109,-53,16,6,1,37.50,22,11,0,50.00,22,1,0,1,0,0,69,263,21.29,951,1301,190,163,173
