,1. Mikuláš Krbec,,37
,2. Lukáš Ujhelyi,,32
,3. Jakub Kolstrunk,,20
,4. Matěj Čermák,,20
,5. Radim Křenek,,18
,1. Martin Beneš,,"4,83"
,2. Ondřej Pelech,,"0,00"
,3. Patrik Zítka,,"0,00"
,,,
,,,
,1. Lukáš Ujhelyi,,21
,2. Jakub Kolstrunk,,15
,3. Mikuláš Krbec,,15
,4. Dominik Beneš,,10
,5. Matěj Čermák,,9
,1. Martin Beneš,,13
,2. Patrik Zítka,,1
,3. Ondřej Pelech,,0
,,,
,,,
,1. Mikuláš Krbec,,22
,2. Marek Zouzal,,12
,3. Lukáš Ujhelyi,,11
,4. Matěj Čermák,,11
,5. Radim Křenek,,10
,1. Matěj Pruner,,26
,2. Kristián Kozák,,10
,3. Michal Pažák,,10
,4. Josef Juha,,6
,5. Michal Zeman,,6
