1.,Radek Valeš,,U,11,9,1,0,8,17,8,24,22,2
2.,Jan Světlík,,U,13,9,3,0,4,13,2,17,25,-8
3.,Prokop Ferdan,,U,10,8,1,0,5,13,0,21,23,-2
4.,Tomáš Dlesk,,U,13,8,0,1,4,12,2,19,23,-4
5.,Jakub Kopecký,,,11,6,1,0,5,11,6,15,23,-8
6.,Vojtěch Wiener,,,9,4,0,0,6,10,0,23,20,3
7.,Patrik Rozkovec,,U,13,5,0,0,3,8,2,16,18,-2
8.,Martin Čermák,,,10,2,1,0,5,7,0,17,16,1
9.,Šimon Stránský,,,6,3,0,0,3,6,2,10,10,0
10.,Petr Kološ,,O,12,1,0,0,5,6,6,20,22,-2
11.,Jan Šoltys,,U,11,4,0,0,1,5,2,11,16,-5
12.,Jan Baudisch,,U,12,3,0,0,2,5,6,14,20,-6
13.,Matěj Klucho,,O,11,1,0,0,4,5,2,13,16,-3
14.,Lukáš Lhota,,,8,3,2,0,1,4,0,8,10,-2
15.,Adam Balatka,,,8,2,0,0,2,4,2,7,12,-5
16.,Lukáš Kořínek,,U,11,2,0,0,1,3,4,11,10,1
17.,Vojtěch Blažek,,,5,1,0,0,2,3,0,4,5,-1
18.,Vojtěch Janeček,,O,11,1,0,0,2,3,4,18,22,-4
19.,Jakub Kárník,,,11,1,0,0,1,2,2,8,15,-7
20.,Martin Blecha,,,1,0,0,0,0,0,0,0,3,-3
21.,Tomáš Leksa,,,2,0,0,0,0,0,0,0,0,0
22.,Dominik Emlar,,,4,0,0,0,0,0,0,2,3,-1
23.,Daniel Martínek,,,7,0,0,0,0,0,2,0,5,-5
24.,Jan Bitman,,O,13,0,0,0,0,0,0,5,16,-11
25.,Ivan Ponomarev,,G,0,0,0,0,0,0,0,0,0,0
26.,Daniel Mück,,,0,0,0,0,0,0,0,0,0,0
