,1. František Vykopal,,16
,2. Matěj Hronek,,15
,3. Filip Hrabal,,12
,4. Ladislav Gál,,10
,5. Peter Nehila,,9
,1. Kevin Majrich,,"6,41"
,2. Jan Vorálek,,"0,00"
,3. Zdeněk Raška,,"9,75"
,4. Matěj Kubíček,,"11,00"
,,,
,1. Filip Hrabal,,9
,2. František Vykopal,,9
,3. Peter Nehila,,8
,4. Ladislav Gál,,6
,5. Matěj Hronek,,6
,1. Kevin Majrich,,2
,2. Jan Vorálek,,0
,3. Matěj Kubíček,,0
,4. Zdeněk Raška,,0
,,,
,1. Matěj Hronek,,9
,2. František Vykopal,,7
,3. Martin Szweda,,5
,4. Ladislav Gál,,4
,5. Petr Koláčný,,4
,1. Petr Koláčný,,12
,2. Martin Szweda,,10
,3. František Vykopal,,8
,4. Michal Nagy,,8
,5. Marek Zapletal,,6
