1.,Radek Valeš,,U,24,21,4,0,18,39,14,58,59,-1
2.,Martin Čermák,,,23,17,4,0,12,29,0,45,44,1
3.,Prokop Ferdan,,U,19,16,3,1,11,27,4,38,40,-2
4.,Vojtěch Wiener,,,22,9,0,0,17,26,4,50,44,6
5.,Jakub Kopecký,,,24,15,1,0,7,22,8,36,53,-17
6.,Tomáš Dlesk,,U,26,11,2,1,9,20,2,38,44,-6
7.,Jan Světlík,,U,25,10,3,0,4,14,2,27,40,-13
8.,Šimon Stránský,,,18,9,0,0,5,14,6,30,30,0
9.,Petr Kološ,,O,25,1,0,0,12,13,8,54,54,0
10.,Patrik Rozkovec,,U,25,5,0,0,5,10,4,21,25,-4
11.,Jan Šoltys,,U,24,8,0,0,1,9,2,21,34,-13
12.,Jan Baudisch,,U,25,5,0,0,2,7,6,22,31,-9
13.,Adam Balatka,,,17,3,0,0,4,7,2,15,20,-5
14.,Matěj Klucho,,O,24,2,1,0,4,6,8,27,33,-6
15.,Lukáš Lhota,,,14,3,2,0,2,5,4,18,20,-2
16.,Vojtěch Janeček,,O,22,2,0,0,2,4,4,28,37,-9
17.,Petr Salát,,U,8,1,0,0,3,4,4,5,8,-3
18.,Jakub Kárník,,,24,1,0,0,3,4,4,14,28,-14
19.,Lukáš Kořínek,,U,20,2,0,0,1,3,4,12,13,-1
20.,Vojtěch Blažek,,,5,1,0,0,2,3,0,5,6,-1
21.,Jan Bitman,,O,26,1,0,0,1,2,0,13,24,-11
22.,Petr Chlad,,G,0,0,0,0,0,0,0,0,0,0
23.,Martin Blecha,,,1,0,0,0,0,0,0,0,3,-3
24.,Tomáš Leksa,,,2,0,0,0,0,0,0,0,0,0
25.,Dominik Emlar,,,4,0,0,0,0,0,0,2,3,-1
26.,Daniel Martínek,,,9,0,0,0,0,0,2,0,6,-6
27.,Ivan Ponomarev,,G,0,0,0,0,0,0,0,0,0,0
28.,Daniel Mück,,,0,0,0,0,0,0,0,0,0,0
