1.,Luděk Ondráček,,U,19,17,4,1,11,28,4,30,34,-4
2.,Jiří Juhaňák,,U,24,5,2,0,17,22,6,41,56,-15
3.,Tomáš Brom,,O,24,12,3,2,9,21,6,35,53,-18
4.,Martin Nagy,,U,22,11,5,0,4,15,0,16,32,-16
5.,Adam Hemerka,,,12,7,0,0,4,11,10,21,22,-1
6.,Matěj Kostka,,O,24,3,2,0,7,10,6,25,33,-8
7.,Lukáš Vlach,,,24,7,0,0,2,9,2,20,43,-23
8.,René Slezák,,,21,6,1,0,3,9,4,21,29,-8
9.,David Sládeček,,O,24,2,1,0,7,9,12,35,48,-13
10.,Lukáš Jalový,,,9,1,0,0,7,8,4,16,19,-3
11.,David Coufal,,U,11,4,0,0,3,7,2,12,23,-11
12.,Marek Fuchs,,U,21,4,1,0,2,6,10,25,28,-3
13.,Jakub Procházka,,U,21,4,0,0,0,4,4,11,24,-13
14.,Šimon Hronek,,,23,4,0,0,0,4,2,10,26,-16
15.,Dominik Dvořák,,U,24,1,0,0,3,4,13,25,46,-21
16.,Šimon Leško,,,18,1,0,0,2,3,2,4,8,-4
17.,Matyáš Kůra,,,22,1,0,0,2,3,4,11,19,-8
18.,Vít Máček,,,7,1,0,0,0,1,0,1,2,-1
19.,Jonáš Kůra,,,8,1,0,0,0,1,8,5,10,-5
20.,Filip Horák,,O,21,1,0,0,0,1,0,14,34,-20
21.,David Hrazdira,,O,9,0,0,0,1,1,0,3,7,-4
22.,Filip Létal,,G,0,0,0,0,1,1,0,0,0,0
23.,Jiří Halama,,,18,0,0,0,1,1,6,7,5,2
24.,Matěj Hronek,,,2,0,0,0,0,0,0,0,0,0
25.,Filip Kuhn,,G,0,0,0,0,0,0,25,0,0,0
26.,Tomáš Zach,,O,19,0,0,0,0,0,0,1,6,-5
27.,Ondřej Kolajta,,,0,0,0,0,0,0,0,0,0,0
