,1. Jakub Renčín,,7
,2. Matěj Boček,,5
,3. Tomáš Hanák,,4
,4. Jakub Boček,,2
,5. Jakub Hromada,,2
,1. Daniel Körber,,"9,59"
,2. Ondřej Matiášek,,"12,71"
,,,
,,,
,,,
,1. Tomáš Hanák,,3
,2. Jakub Boček,,2
,3. Jakub Hromada,,2
,4. Jakub Renčín,,2
,5. Jan Hněvkovský,,2
,1. Daniel Körber,,0
,2. Ondřej Matiášek,,0
,,,
,,,
,,,
,1. Jakub Renčín,,5
,2. Matěj Boček,,4
,3. Jan Bauman,,1
,4. Jaroslav Král,,1
,5. Radek Hanák,,1
,1. Jaroslav Král,,5
,2. Daniel Ludvík,,4
,3. Tomáš Hanák,,4
,4. Filip Neklan,,2
,5. Jakub Boček,,2
